tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,FocalSpecies,OtherSp,Parasitism,ObsCount_Pairs,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
1500,0,0,0,0,14,0,Sp1,0,0,3,0,6,0,SIM,PAN,Para,14,5,3,6,3
1500,0,0,1,0,0,0,Sp2,0,0,3,0,6,0,PAN,SIM,Para,1,3,5,3,6
1507,0,0,0,0,17.5,0,Sp1,0,0,3,0,9,0,SIM,PAN,Para,17.5,5,3,9,3
1507,0,0,5,0,0,0,Sp2,0,0,3,0,9,0,PAN,SIM,Para,5,3,5,3,9
1508,0,0,0,0,39,0,Sp1,0,0,3,0,9,0,SIM,PAN,Para,39,5,3,9,3
1508,0,0,10.5,0,0,0,Sp2,0,0,3,0,9,0,PAN,SIM,Para,10.5,3,5,3,9
1509,0,0,0,0,45.5,0,Sp1,0,0,3,0,9,0,SIM,PAN,Para,45.5,5,3,9,3
1509,0,0,10,0,0,0,Sp2,0,0,3,0,9,0,PAN,SIM,Para,10,3,5,3,9
1512,0,0,0,0,67,0,Sp1,0,0,3,0,9,0,SIM,PAN,Para,67,5,3,9,3
1512,0,0,13,0,0,0,Sp2,0,0,3,0,9,0,PAN,SIM,Para,13,3,5,3,9
1519,0,0,0,0,23.5,0,Sp1,0,0,3,0,12,0,SIM,PAN,Para,23.5,5,3,12,3
1519,0,0,10.5,0,0,0,Sp2,0,0,3,0,12,0,PAN,SIM,Para,10.5,3,5,3,12
1520,0,0,0,0,30,0,Sp1,0,0,3,0,12,0,SIM,PAN,Para,30,5,3,12,3
1520,0,0,6,0,0,0,Sp2,0,0,3,0,12,0,PAN,SIM,Para,6,3,5,3,12
1521,0,0,0,0,53.5,0,Sp1,0,0,3,0,12,0,SIM,PAN,Para,53.5,5,3,12,3
1521,0,0,5.5,0,0,0,Sp2,0,0,3,0,12,0,PAN,SIM,Para,5.5,3,5,3,12
1524,0,0,0,0,54.5,0,Sp1,0,0,3,0,12,0,SIM,PAN,Para,54.5,5,3,12,3
